Date,Label,30 Day Peak
1-Dec-15,Steam Release,"17,999"
14-Apr-16,Free Weekend,"29,128"
28-Jul-16,Free Weekend,"39,536"
10-Nov-16,Free Weekend,"41,938"
2-Feb-17,Free Weekend,"65,010"
24-Aug-17,Free Weekend,"73,864"
16-Nov-17,Free Weekend,"100,845"
15-Feb-18,Free Weekend,"178,953"
17-May-18,Free Weekend,"143,183"
16-Aug-18,Free Weekend,"143,730"
15-Nov-18,Free Weekend,"121,731"
14-Feb-19,Free Weekend,"136,018"
6-Jun-19,Free Weekend,"140,445"
28-Aug-19,Free Week,"148,620"
21-Nov-19,Free Weekend,"140,398"
5-Mar-20,Free Weekend,"142,326"
5-Mar-20,Free Weekend,"199,307"
18-Mar-21,Free Weekend,"201,053"
9-Sep-21,Free Weekend,"111,638"
1-Dec-22,Free Week,"64,310"
30-Nov-23,Free Week,"62,306"
5-Dec-24,Free Week,"77,302"
,,
